,date,o,h,l,c,volume
0,2025-08-21,87.0180,87.3230,86.9210,87.2670,0
1,2025-08-20,87.0430,87.1660,86.9720,86.9980,0
2,2025-08-19,87.2670,87.3720,86.9130,87.0400,0
3,2025-08-18,87.5190,87.5420,87.2760,87.2910,0
4,2025-08-15,87.6870,87.6890,87.4020,87.5080,0
5,2025-08-14,87.4420,87.6800,87.3800,87.6710,0
6,2025-08-13,87.5800,87.7200,87.3710,87.4300,0
7,2025-08-12,87.6463,87.7370,87.5580,87.5860,0
8,2025-08-11,87.5360,87.7350,87.4670,87.6500,0
9,2025-08-08,87.4200,87.7450,87.4200,87.4610,0
10,2025-08-07,87.6870,87.7930,87.3200,87.4180,0
11,2025-08-06,87.7800,87.8390,87.6070,87.7000,0
12,2025-08-05,87.9720,87.9720,87.7310,87.8020,0
13,2025-08-04,87.2550,87.7000,87.1350,87.6700,0
14,2025-08-01,87.4850,87.6680,87.1420,87.2300,0
15,2025-07-31,87.7100,87.7910,87.4790,87.4960,0
16,2025-07-30,87.0530,87.8180,87.0450,87.6620,0
17,2025-07-29,86.7410,87.0810,86.7300,87.0810,0
18,2025-07-28,86.4510,86.6970,86.3970,86.6690,0
19,2025-07-25,86.4270,86.6250,86.3870,86.4750,0
20,2025-07-24,86.3960,86.4170,86.2360,86.3700,0
21,2025-07-23,86.3230,86.4650,86.2790,86.3700,0
22,2025-07-22,86.1800,86.4140,86.1590,86.2940,0
23,2025-07-21,86.1290,86.3500,86.1270,86.1800,0
24,2025-07-18,86.0050,86.2250,85.9670,86.1450,0
25,2025-07-17,85.9170,86.1080,85.7910,86.0200,0
26,2025-07-16,85.9540,86.0530,85.7280,85.8700,0
27,2025-07-15,86.0040,86.0270,85.7240,85.9630,0
28,2025-07-14,85.7950,86.0475,85.7950,85.9890,0
29,2025-07-11,85.7200,85.9050,85.6850,85.8000,0
30,2025-07-10,85.7100,85.7380,85.5275,85.7210,0
31,2025-07-09,85.7500,85.9270,85.6230,85.6700,0
32,2025-07-08,85.7490,85.8050,85.6190,85.7500,0
33,2025-07-07,85.5700,86.0275,85.5700,85.7500,0
34,2025-07-04,85.4530,85.5060,85.3020,85.4690,0
35,2025-07-03,85.5540,85.7025,85.1650,85.4050,0
36,2025-07-02,85.6120,85.7525,85.5510,85.6200,0
37,2025-07-01,85.6900,85.6900,85.4370,85.6200,0
38,2025-06-30,85.4510,85.8170,85.4310,85.6900,0
39,2025-06-27,85.6300,85.6760,85.4030,85.4400,0
40,2025-06-26,85.9940,86.0500,85.6040,85.6300,0
41,2025-06-25,85.9070,86.1300,85.7860,86.0300,0
42,2025-06-24,86.1520,86.2600,85.8720,85.9160,0
43,2025-06-23,86.7830,86.8640,86.5430,86.5600,0
44,2025-06-20,86.6790,86.6800,86.5020,86.5600,0
45,2025-06-19,86.4110,86.8925,86.4100,86.8130,0
46,2025-06-18,86.3000,86.5525,86.2580,86.4200,0
47,2025-06-17,86.0250,86.3760,85.8850,86.2900,0
48,2025-06-16,86.1440,86.2550,85.7540,85.8180,0
49,2025-06-13,86.1590,86.2110,85.9180,86.0810,0
50,2025-06-12,85.4600,85.6475,85.3960,85.5530,0
51,2025-06-11,85.5550,85.6160,85.3960,85.4400,0
52,2025-06-10,85.6610,85.6730,85.4900,85.5690,0
53,2025-06-09,85.7980,85.7980,85.4470,85.6500,0
54,2025-06-06,85.8330,85.9900,85.6100,85.7580,0
55,2025-06-05,85.8310,85.9625,85.6260,85.8000,0
56,2025-06-04,85.6610,86.0225,85.5900,85.8310,0
57,2025-06-03,85.3060,85.6610,85.3060,85.6610,0
58,2025-06-02,85.4770,85.5620,85.2510,85.3080,0
59,2025-05-30,85.3710,85.6400,85.2240,85.4770,0
60,2025-05-29,85.3670,85.6175,85.3470,85.3670,0
61,2025-05-28,85.2770,85.7100,85.2770,85.3670,0
62,2025-05-27,85.0400,85.4550,85.0400,85.3260,0
63,2025-05-26,85.1520,85.2125,84.7600,85.0400,0
64,2025-05-23,85.9480,86.0425,85.0810,85.1510,0
65,2025-05-22,85.5700,86.1050,85.5040,85.9480,0
66,2025-05-21,85.5100,85.6950,85.4570,85.5700,0
67,2025-05-20,85.3600,85.6525,85.3030,85.5100,0
68,2025-05-19,85.4700,85.6200,85.2970,85.3450,0
69,2025-05-16,85.4980,85.7000,85.2270,85.5520,0
70,2025-05-15,85.3600,85.7300,85.3230,85.4960,0
71,2025-05-14,85.2280,85.5175,84.9990,85.3800,0
72,2025-05-13,84.8420,85.4700,84.6050,85.2500,0
73,2025-05-12,84.6700,84.9600,84.5670,84.8420,0
74,2025-05-09,85.8270,85.9050,85.2380,85.3590,0
75,2025-05-08,84.6670,85.7700,84.5030,85.4880,0
76,2025-05-07,84.6220,84.9300,84.4480,84.6670,0
77,2025-05-06,84.2550,84.6325,84.2140,84.3200,0
78,2025-05-05,84.4790,84.5000,84.0890,84.2550,0
79,2025-05-02,84.5600,84.6410,83.7400,84.4790,0
80,2025-05-01,84.5490,84.6970,84.5270,84.5600,0
81,2025-04-30,85.1120,85.2625,84.4220,84.5490,0
82,2025-04-29,85.1150,85.3900,84.9200,85.1000,0
83,2025-04-28,85.3600,85.4500,84.9010,85.1150,0
84,2025-04-25,85.2780,85.6550,85.0600,85.3600,0
85,2025-04-24,85.3240,85.6675,85.2010,85.2850,0
86,2025-04-23,85.1400,85.5250,85.1400,85.3240,0
87,2025-04-22,85.1500,85.2090,85.0210,85.1400,0
88,2025-04-21,85.4090,85.4090,84.9840,85.1500,0
89,2025-04-18,85.3600,85.4600,85.3600,85.4090,0
90,2025-04-17,85.5670,85.6125,85.2650,85.3600,0
91,2025-04-16,85.6630,85.7725,85.5310,85.5670,0
92,2025-04-15,86.0010,86.0400,85.5600,85.6630,0
93,2025-04-14,86.1600,86.1600,85.8440,86.0030,0
94,2025-04-11,86.1700,86.2440,85.9100,86.1600,0
95,2025-04-10,86.6160,86.6160,86.0890,86.1700,0
96,2025-04-09,86.2200,86.7100,86.2200,86.6160,0
97,2025-04-08,85.8340,86.2925,85.7870,86.2200,0
98,2025-04-07,85.4820,85.8975,85.4820,85.8160,0
99,2025-04-04,85.2270,85.5930,84.9070,85.4820,0
